Region,Country,State/Province,Standard of Living,Cost of Living (Index),Income Tax Rate (%),GNH,GDP (in USD Trillions),Average Income (USD),Employment Rate (%),"Crime Rate (per 100,000)",No. of Unicorns,Population (millions),Life Expectancy (years),Internet Penetration (%),Literacy Rate (%),Healthcare Quality Index,Education Index,Public Debt (% of GDP),Urbanization Rate (%),Renewable Energy Usage (%),Inflation Rate (%),Average Temperature (°C),Freedom of Press Index,Foreign Direct Investment (USD Billions),Median Age,Education Index.1,Poverty Rate (%),Military Expenditure (% of GDP),Carbon Emissions (Tonnes per Capita),Renewable Energy (%),Tourism Revenue (Billions USD),Transportation Infrastructure Index,Housing Price Index,Currency Strength (vs USD),Work-Life Balance Score,Average Work Hours per Week,Corruption Index,Political Stability Index,Happiness Index,Innovation Index,Startup Ecosystem Score,Higher Education Enrollment (%),Female Labor Participation (%),Gender Equality Index,Crime Severity Index,Environmental Performance Index,Public Debt (% of GDP).1,Trade Balance (Billions USD),Number of Patents Filed
South America,Brazil,São Paulo,Very High,130,20.39386169,3.1,4.87,10770,59.59384022,12,48,863.9,74.70875969,43.15163806,64.09272224,51,54,18.23115566,68.93916375,13.86281277,13.88483779,7.73007175,14.07197101,187.8,20.07879685,0.474131146,2.115914321,8.567565166,15.12983307,46.44507538,258.0893669,0.54493716,132.7339604,1.349666693,3.522280985,23.42804989,10.96464803,1.291160468,5.036748506,76.09839941,1.874049809,0.577145177,55.79642907,0.757221768,0.725898721,72.28849102,255.9786347,-384.148917,22341
Asia,Indonesia,Bali,High,98,35.3744141,3.2,22.11,76219,99.4036994,483,34,831.9,81.45230341,44.96105077,87.36846898,60,69,111.868168,24.65110579,20.01569603,13.46610693,-14.73455524,2.577485528,194.3,17.25590159,0.698440468,38.48317637,2.209991019,12.5150407,21.24909702,457.6806726,0.515333283,115.9555038,0.310928565,6.331244414,30.65434941,64.06438231,-2.350621153,8.751068057,12.43080021,3.024851946,95.39645994,28.98950781,0.433406708,2.300661003,51.33806174,62.03729995,-210.9786374,24495
North America,United States,Texas,Very High,75,25.33393963,7,17.77,30319,76.87395694,87,101,633.3,71.68939009,40.58187021,76.06575892,35,87,70.40359934,90.38792054,12.95469507,12.4378778,24.81553762,4.055671693,104.7,29.42774298,0.557456285,25.37357563,1.072565715,0.242612137,45.7483149,134.4535324,0.228560705,86.46893723,1.519759916,2.75800495,57.60230475,90.04090496,1.724243249,0.461933711,81.00101969,3.452715223,78.61538373,79.0922476,0.942641059,0.58864199,45.64864961,205.470163,-398.6098964,48114
Africa,Nigeria,Lagos,High,192,42.10696508,7.3,0.11,27377,56.47892994,286,22,129.4,50.31718001,92.59939798,70.79964547,60,80,78.77404761,86.95024345,56.41684731,9.22417202,20.70436666,12.11929753,24,24.44602964,0.067172691,41.84977886,8.740985892,11.87256941,71.06304459,131.0219536,0.290283555,122.3499854,1.055644553,4.417490983,36.22955473,9.115590608,1.929406284,5.401683985,17.28933559,1.775051441,88.03956752,30.45142081,0.690449768,7.296330166,5.454925984,284.6585163,-138.9942138,31140
Oceania,Fiji,Suva,Medium,162,17.79488011,3.7,1.19,71400,94.27401713,274,45,925.5,65.86590814,99.10444588,76.56187019,75,81,112.7850689,94.69494447,14.57452968,19.26394016,30.92726917,2.508463876,138.4,20.68505307,0.179208019,28.30218648,8.394794292,5.065232315,37.16337141,324.9988726,0.790318985,66.91476786,1.743482024,7.635570667,22.92754083,33.11090907,-2.445367328,6.016310268,93.85549157,6.001534654,53.94135525,81.47828703,0.84693643,0.536766048,10.9063487,288.2312889,130.5450997,5525
Europe,Spain,Catalonia,Medium,179,34.50104185,3.2,3.41,25896,87.78128526,163,12,1069,82.43087648,88.37632093,49.7301398,33,41,10.00096758,49.83479182,32.50348955,6.098885431,-17.30134091,4.033819517,168.1,39.90290122,0.578962676,27.38033062,4.313274722,5.065166419,26.60525167,292.0917856,0.887178367,121.4327843,1.559171834,9.918604081,37.34566924,89.12224901,-0.454210566,0.854200965,25.23705132,6.880388018,36.64699561,80.54198283,0.207086514,8.890019181,68.7066368,102.1831636,147.5489825,11617
Antarctica,Antarctica,Antarctica,High,145,40.58649849,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,15.74200319,0.024944906,44.30181532,5.362287993,9.322978299,54.70562406,149.7420654,0.360265102,87.38641092,1.575524937,8.985758536,42.64147325,22.90229416,2.41127064,3.229202357,53.34257209,3.321681017,58.59711913,78.64229157,0.058875622,3.802304877,16.25609325,185.3188994,289.8854826,37748
Africa,Kenya,Mombasa,Very High,110,11.91830596,5.6,6.66,63160,91.92512008,375,145,653.9,63.62676734,31.53468416,56.641611,76,77,70.0248892,68.49016888,18.22936689,19.24523656,-2.075478719,1.290297785,164.2,31.21697242,0.998409085,48.91427846,0.951300467,3.162878724,23.00996725,151.6145668,0.587319007,54.17083105,1.30963879,2.307911249,40.70809152,51.96308481,-0.132289109,7.374666924,54.31203783,5.440276891,32.84444181,65.99437084,0.40625349,4.391827994,3.632297656,160.0065165,160.0200099,8873
Oceania,New Zealand,Auckland,Low,139,17.22806792,3.1,1.9,76286,62.50246324,409,116,460.7,57.01590359,40.06242737,89.21938088,79,45,27.56707588,34.63656133,50.80431817,14.50650584,13.56286706,15.48007775,70.9,44.13975544,0.301220692,48.66879799,9.150571284,14.52768893,20.54978598,417.9616982,0.678292449,131.6338798,1.001030342,0.317652857,51.78730117,78.56618849,-0.48051354,2.58253733,16.77973054,7.718598189,51.51674204,91.83077746,0.268730854,8.416633433,89.0925951,3.472185226,-270.6259698,27903
Asia,South Korea,Busan,High,118,33.62642646,3.6,3.6,33378,93.5812698,171,74,1339.2,62.29563881,89.12400107,58.12213187,68,72,17.90989309,53.42948513,33.88840248,18.88048946,7.318764601,17.61025535,165.5,22.48966032,0.873573062,47.51862178,2.346781446,15.0044086,3.784511718,486.5292634,0.372743151,184.6279828,1.66365603,0.52063872,56.29644571,38.1671841,-1.012460925,2.774901321,73.18839037,4.360636392,92.6872644,58.36314237,0.982652159,3.575178444,72.78364366,52.87719911,-363.281321,33899
